epoch,acc,iou,loss,lr,precision_4,recall_4,val_acc,val_iou,val_loss,val_precision_4,val_recall_4
0,0.6327017545700073,0.10524342954158783,0.6867350935935974,1e-04,0.18362009525299072,0.8088511824607849,0.8278225660324097,0.07778532803058624,0.6726132035255432,0.15309560298919678,0.1918460726737976
1,0.8317639231681824,0.11653685569763184,0.5061315298080444,1e-04,0.3133215308189392,0.612115740776062,0.894762396812439,0.07385775446891785,0.5962311625480652,0.1232084408402443,0.023874415084719658
2,0.8902185559272766,0.12436198443174362,0.44003117084503174,1e-04,0.44256341457366943,0.4941788911819458,0.9071575403213501,0.06931896507740021,0.5194783210754395,0.025595957413315773,0.0003176711034029722
3,0.9096376895904541,0.1322963833808899,0.40331968665122986,1e-04,0.5402315258979797,0.4845525026321411,0.904227614402771,0.07128603011369705,0.4535873234272003,0.06902655214071274,0.003509379457682371
4,0.9204013347625732,0.14137651026248932,0.3770088851451874,1e-04,0.6130372881889343,0.49876195192337036,0.8976736664772034,0.07756935805082321,0.4217001795768738,0.23698900640010834,0.05162905156612396
5,0.9278574585914612,0.15153220295906067,0.35658541321754456,1e-04,0.6651662588119507,0.5271792411804199,0.8869641423225403,0.08786387741565704,0.42524614930152893,0.25969722867012024,0.1233300119638443
6,0.9338235855102539,0.1613757461309433,0.33974096179008484,1e-04,0.7060983180999756,0.5556824207305908,0.8756038546562195,0.10119618475437164,0.44846367835998535,0.2851206660270691,0.23078873753547668
7,0.9393444061279297,0.17108075320720673,0.323627769947052,1e-04,0.7451121211051941,0.580774188041687,0.8741424083709717,0.11534548550844193,0.4488118588924408,0.33022966980934143,0.35120245814323425
8,0.9450207948684692,0.18209846317768097,0.3082984983921051,1e-04,0.7806233167648315,0.6139755845069885,0.8949348330497742,0.12605950236320496,0.3823075592517853,0.42545461654663086,0.38728877902030945
9,0.9498152732849121,0.19514106214046478,0.2935515344142914,1e-04,0.8037877082824707,0.6510381102561951,0.9038411378860474,0.13763302564620972,0.36398574709892273,0.48010939359664917,0.4528762996196747
