epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8597293496131897,0.09818674623966217,0.406539648771286,1e-04,0.23072901368141174,0.2298785299062729,0.8878549933433533,0.09189270436763763,0.5921830534934998,0.0,0.0
1,0.8996369242668152,0.11912556737661362,0.3226468563079834,1e-04,0.43933650851249695,0.3496631681919098,0.8878549933433533,0.08463124930858612,0.4582505226135254,0.0,0.0
2,0.9117527604103088,0.13843128085136414,0.2876410186290741,1e-04,0.5230704545974731,0.44249287247657776,0.8878549933433533,0.07745014131069183,0.38152796030044556,0.0,0.0
3,0.9220225811004639,0.1582086980342865,0.26324400305747986,1e-04,0.5913265943527222,0.49585485458374023,0.8877285718917847,0.07367528229951859,0.3531530797481537,0.0,0.0
4,0.9309255480766296,0.17836685478687286,0.24305909872055054,1e-04,0.6507561802864075,0.5436612367630005,0.8839267492294312,0.0735730528831482,0.35274437069892883,0.2261170893907547,0.014364048838615417
5,0.9384793043136597,0.19795693457126617,0.22561869025230408,1e-04,0.699494481086731,0.5892225503921509,0.8725714683532715,0.08757929503917694,0.345876544713974,0.2634926736354828,0.07478266209363937
6,0.9450612664222717,0.2179034799337387,0.20950087904930115,1e-04,0.7396567463874817,0.6321685910224915,0.8663238286972046,0.10375665128231049,0.3432142436504364,0.30703306198120117,0.14948788285255432
7,0.9507623314857483,0.23947708308696747,0.19434629380702972,1e-04,0.7678393125534058,0.6788086891174316,0.8838335871696472,0.1325983703136444,0.3100054860115051,0.46979567408561707,0.23863570392131805
8,0.9560285806655884,0.2619253098964691,0.17959849536418915,1e-04,0.7947261333465576,0.7177534699440002,0.898861289024353,0.16440647840499878,0.28441354632377625,0.5945163369178772,0.32851359248161316
9,0.9594349265098572,0.2822689414024353,0.16806375980377197,1e-04,0.8099861741065979,0.7457250952720642,0.9126248359680176,0.1830279678106308,0.26032745838165283,0.738257110118866,0.3512914478778839
