epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.7522072792053223,0.09704273194074631,0.5768639445304871,1e-04,0.18680573999881744,0.4618508517742157,0.910019040107727,0.07718562334775925,0.5723302364349365,0.0,0.0
1,0.8757314085960388,0.10583669692277908,0.41945236921310425,1e-04,0.3456402122974396,0.3134322464466095,0.910019040107727,0.0732029601931572,0.44726893305778503,0.0,0.0
2,0.8990598320960999,0.11731407791376114,0.35631367564201355,1e-04,0.4723069369792938,0.3311511278152466,0.910019040107727,0.0639171451330185,0.3740617334842682,0.0,0.0
3,0.9097598195075989,0.12780088186264038,0.32638680934906006,1e-04,0.5517061948776245,0.38953450322151184,0.910019040107727,0.058424923568964005,0.344573974609375,0.0,0.0
4,0.9160723090171814,0.14194394648075104,0.304192453622818,1e-04,0.5897347331047058,0.45895394682884216,0.9095951318740845,0.05373402684926987,0.34106874465942383,0.2543518841266632,0.0024375112261623144
5,0.9180968999862671,0.15500135719776154,0.2898833751678467,1e-04,0.5948405265808105,0.5086168050765991,0.9082600474357605,0.05511990562081337,0.33135977387428284,0.21978943049907684,0.007597920950502157
6,0.920943021774292,0.1628301590681076,0.27900803089141846,1e-04,0.6128344535827637,0.5216411352157593,0.9071921706199646,0.0646226555109024,0.3191070258617401,0.36263710260391235,0.03998042270541191
7,0.9274740219116211,0.1735619753599167,0.2656495273113251,1e-04,0.6582701802253723,0.5405750274658203,0.9088408946990967,0.08828636258840561,0.30622878670692444,0.4824368953704834,0.1387961357831955
8,0.93295818567276,0.19135458767414093,0.25215888023376465,1e-04,0.6873654127120972,0.5836463570594788,0.9199097156524658,0.1321047991514206,0.2779577076435089,0.5966237187385559,0.3612990081310272
9,0.9381992220878601,0.20771045982837677,0.23949173092842102,1e-04,0.7162252068519592,0.6178677678108215,0.9322713017463684,0.1319848895072937,0.25183308124542236,0.855961799621582,0.30246785283088684
