epoch,acc,iou,loss,lr,precision_1,recall_1,val_acc,val_iou,val_loss,val_precision_1,val_recall_1
0,0.7346541881561279,0.11016876995563507,0.6042259335517883,1e-04,0.21470198035240173,0.6518827676773071,0.9086257815361023,0.07825864106416702,0.6209511756896973,0.2565641403198242,0.0004647307505365461
1,0.8785994648933411,0.12091615796089172,0.43430840969085693,1e-04,0.39557597041130066,0.47173723578453064,0.908706545829773,0.07485652714967728,0.4968898296356201,0.0,0.0
2,0.9004733562469482,0.13217326998710632,0.3802354037761688,1e-04,0.48823773860931396,0.47083190083503723,0.908706545829773,0.07284563779830933,0.41105011105537415,0.0,0.0
3,0.9142666459083557,0.14552608132362366,0.34719792008399963,1e-04,0.5714526772499084,0.4823853373527527,0.9084998369216919,0.07231035828590393,0.37806567549705505,0.27849116921424866,0.0014145751483738422
4,0.9232931137084961,0.15937790274620056,0.32291391491889954,1e-04,0.6358694434165955,0.5032027363777161,0.9021732807159424,0.07342617213726044,0.36721721291542053,0.17618846893310547,0.019268659874796867
5,0.9302318096160889,0.17276418209075928,0.3032446801662445,1e-04,0.6829438209533691,0.5375481843948364,0.9031240344047546,0.07629743963479996,0.3670305013656616,0.32329222559928894,0.05458683893084526
6,0.9359756112098694,0.18552705645561218,0.28695428371429443,1e-04,0.7186631560325623,0.5726704001426697,0.9101302027702332,0.09923994541168213,0.3270207643508911,0.5346667170524597,0.14319413900375366
7,0.9412980079650879,0.19805237650871277,0.2721599042415619,1e-04,0.7524719834327698,0.6026167273521423,0.920183002948761,0.12179864943027496,0.2998337149620056,0.6907814145088196,0.23564158380031586
8,0.9453510642051697,0.21067966520786285,0.25892600417137146,1e-04,0.7727560997009277,0.633474588394165,0.9266811609268188,0.13898250460624695,0.282733678817749,0.7627706527709961,0.29315948486328125
9,0.9494327306747437,0.22371898591518402,0.2463119924068451,1e-04,0.792740523815155,0.6637669205665588,0.9328779578208923,0.15720656514167786,0.267719030380249,0.7993690967559814,0.3612058460712433
