epoch,acc,iou,loss,lr,precision_2,recall_2,val_acc,val_iou,val_loss,val_precision_2,val_recall_2
0,0.655731737613678,0.10710738599300385,0.7200385928153992,1e-04,0.17957279086112976,0.732384204864502,0.9017121195793152,0.08043208718299866,0.6083149313926697,0.0,0.0
1,0.8659791350364685,0.11624110490083694,0.4732860028743744,1e-04,0.36247771978378296,0.5319304466247559,0.9017229080200195,0.07514969259500504,0.5086220502853394,0.0,0.0
2,0.9011306166648865,0.1262979507446289,0.39541372656822205,1e-04,0.48284173011779785,0.48318013548851013,0.9017229080200195,0.0690847709774971,0.4308316111564636,0.0,0.0
3,0.9110457301139832,0.13594627380371094,0.36021924018859863,1e-04,0.5385448336601257,0.4936239421367645,0.9017229080200195,0.06875120848417282,0.3936867415904999,0.0,0.0
4,0.9171743988990784,0.14535251259803772,0.3376229703426361,1e-04,0.5760408639907837,0.513558030128479,0.90172278881073,0.06728718429803848,0.37536776065826416,0.4285714328289032,3.817940068984171e-06
5,0.9245951771736145,0.15618643164634705,0.3186483085155487,1e-04,0.623874843120575,0.5403599739074707,0.901380717754364,0.06841709464788437,0.3481716215610504,0.10163551568984985,0.00044288107892498374
6,0.9298052191734314,0.16657845675945282,0.3041125535964966,1e-04,0.6578928232192993,0.5628151893615723,0.8978644013404846,0.07809767127037048,0.33732661604881287,0.335901141166687,0.03951059281826019
7,0.9365012049674988,0.18063609302043915,0.2867528200149536,1e-04,0.7014448642730713,0.5953528881072998,0.8993275165557861,0.08906379342079163,0.33202826976776123,0.44336313009262085,0.08975213766098022
8,0.942324161529541,0.19532115757465363,0.2716839015483856,1e-04,0.737270712852478,0.6283083558082581,0.9009556770324707,0.10986318439245224,0.33266690373420715,0.494302362203598,0.1839420050382614
9,0.9470905661582947,0.21013964712619781,0.2579910457134247,1e-04,0.7658879160881042,0.6557210087776184,0.9067448973655701,0.12276052683591843,0.33918482065200806,0.5684466361999512,0.22988709807395935
